period,depo,part_no,group,demand,forecast,po_md,supply_ahm
2023-02,KRW,86318CDK626,CDKIT,74,60,70,52
2024-01,CRB,89435TIR332,TIRE1,96,75,105,93
2025-07,BDG,83709CHA166,CHAIN,41,37,38,31
2024-11,CRB,52898STR330,STR,147,161,171,142
2023-11,KRW,70043TIR900,TIRE,190,146,199,180
2025-10,BDG,22505ACG235,ACG,182,221,201,144
2023-10,KRW,76436CCK322,CCKIT,78,87,85,60
2024-07,CRB,97855SDN736,SDN,62,69,68,58
2023-04,BDG,19472PSK246,PSKIT,47,50,48,46
2024-05,KRW,44834SDX885,SD,94,77,88,66
2025-04,CRB,25139BAT344,BATT,78,85,82,66
2024-09,CRB,78171ACB767,ACB,109,120,109,99
2024-10,CRB,67260CHA597,CHAIN,137,165,176,134
2022-03,BDG,79385GMO834,GMO,89,87,83,80
2022-01,KRW,84324TIR267,TIRE,97,108,100,100
2025-04,KRW,21790STR381,STR,120,93,130,109
2024-09,BDG,70894COO785,COOL,141,162,160,118
2022-09,KRW,94252SDX990,SD,100,103,99,85
2025-01,CRB,71760BRN996,BRNG3,84,95,94,67
2023-04,CRB,46843OSE784,OSEAL,88,79,88,87
2024-12,KRW,66184SDN242,SDN,27,21,27,20
2025-07,CRB,90253TIR958,TIRE,76,67,80,58
2025-02,CRB,84305EVC867,EVCH,55,60,57,44
2022-04,KRW,39280OSE401,OSEAL,110,127,115,112
2024-06,KRW,99719SDX407,SD,78,66,83,62
2022-09,CRB,68836CAB870,CABLE,76,70,71,71
2022-11,BDG,48821DIS419,DISK,154,181,170,142
2023-08,BDG,57746TIR400,TIRE,110,131,123,119
2022-10,CRB,82367TIR251,TIRE1,146,165,175,123
2022-08,BDG,79030CAB624,CABLE,17,13,16,13
2023-11,BDG,89343TBH363,TBHGP,150,119,160,160
2023-02,KRW,48305MUF904,MUF,120,124,124,93
2022-12,CRB,80405ACG570,ACG,208,188,207,207
2025-11,CRB,19917BRN309,BRNG,57,65,64,51
2023-12,KRW,88321TIR937,TIRE,31,30,33,27
2024-07,CRB,23601CDK769,CDKIT,87,70,87,71
2023-01,BDG,36380FLU277,FLUID,141,164,175,165
2023-05,CRB,20731DIS114,DISK,71,53,71,59
2023-09,KRW,50689OSE578,OSEAL,151,180,182,147
2024-08,CRB,17048BRN819,BRNG,82,99,102,83
2022-01,CRB,31263CAB415,CABLE,39,42,42,32
2024-11,BDG,13900SAO769,SAOIL,180,184,176,139
2022-05,KRW,15688GMO645,GMO,186,227,245,213
2024-09,KRW,64450SPL378,SPLUR,146,118,139,112
2025-04,BDG,42230SDN119,SDN,85,72,86,86
2022-11,CRB,73030PLA237,PLAST,120,110,120,85
2025-05,CRB,16139TBH218,TBHGP,114,134,146,142
2025-05,KRW,97393SPO851,SPOKE,82,74,76,70
2025-07,BDG,52402RIM803,RIMWH,109,122,123,108
2024-08,KRW,90751GST760,GST,146,164,163,117
2022-07,CRB,45919SDN393,SDN,55,49,59,50
2022-08,BDG,92671CAB913,CABLE,137,168,172,159
2025-07,BDG,67661GST816,GST,41,50,51,42
2022-12,KRW,10552CHA660,CHAIN,41,41,38,34
2022-11,BDG,59958CHA453,CHAIN,86,95,102,87
2022-12,CRB,90096GMO988,GMO,111,96,111,106
2022-05,KRW,67554SDX939,SD,29,32,29,21
2024-10,CRB,34819RBR314,RBR,28,21,26,25
2024-10,BDG,22080DIS235,DISK,33,37,39,33
2024-03,CRB,52833TIR460,TIRE1,80,96,93,71
2022-09,CRB,78030BAT378,BATT,38,44,42,30
2024-11,CRB,34149ELE525,ELECT,173,210,212,209
2024-03,KRW,76755TIR595,TIRE,145,146,140,132
2023-03,KRW,19960RIM316,RIMWH,116,91,111,84
2025-10,KRW,18127EVC103,EVCH,153,151,143,142
2024-05,BDG,27660ECX774,EC,43,35,40,31
2022-07,KRW,90521BRN488,BRNG,35,41,41,31
2024-08,CRB,85784CDK946,CDKGP,39,34,41,33
2025-08,BDG,40234BAT231,BATT,49,48,51,49
2024-01,KRW,99677STR660,STR,44,40,40,28
2023-01,BDG,45059EVC630,EVCH,99,91,95,85
2022-05,BDG,54899PSK486,PSKIT,77,83,78,58
2022-09,BDG,82861BRN656,BRNG3,98,121,118,102
2025-05,KRW,59048GST792,GST,106,119,124,96
2022-02,BDG,69615RBR264,RBR,26,19,27,20
2022-07,KRW,98058CDK214,CDKIT,121,127,127,94
2024-02,KRW,72310SPG752,SPGUI,84,83,89,87
2023-12,BDG,90249VAL138,VALVE,47,52,55,44
2022-04,KRW,73179ACG373,ACG,280,337,341,339
2022-03,CRB,44120TBH664,TBHGP,110,122,117,90
2023-12,BDG,72462ACG863,ACG,205,254,277,233
2025-06,CRB,90624SPO932,SPOKE,65,73,74,67
2024-07,KRW,81450IMP426,IMPOR,105,110,118,116
2024-10,CRB,34272TAS797,TAS,136,153,142,127
2023-09,BDG,85243SPL205,SPLUR,158,197,215,171
2023-05,KRW,56427BRN248,BRNG3,106,79,100,72
2024-03,KRW,45726GMO266,GMO,104,109,112,97
2025-06,BDG,10329SHO584,SHOCK,94,92,97,92
2025-04,CRB,53012RPI171,RPIST,54,56,57,56
2025-05,CRB,58823SPL614,SPLUG,137,153,145,109
2023-06,CRB,49408SPL247,SPLUG,84,66,83,60
2022-04,KRW,71759OSE484,OSEAL,39,41,43,33
2022-05,BDG,73708CCK694,CCKIT,88,69,82,77
2024-08,BDG,26456PSK828,PSKIT,116,91,113,89
2024-05,KRW,77366RSK394,RSKIT,148,133,133,115
2024-08,KRW,98504BLD807,BLDRV,105,130,123,88
2022-08,CRB,36647CHA851,CHAIN,71,56,72,62
2024-06,KRW,32749AHM177,AHM,134,107,123,100
2022-05,BDG,25355TIR296,TIRE,41,45,47,36
2023-09,BDG,61862DIS574,DISK,181,144,170,151
2025-04,CRB,28380CCK751,CCKIT,41,47,48,37
2022-03,CRB,87873MUF447,MUF,144,171,168,137
2025-02,BDG,17557RPI500,RPIST,71,62,74,74
2023-12,KRW,42237SPG219,SPGUI,109,103,118,117
2024-01,BDG,75100BRA385,BRAKE,76,69,71,57
2023-03,CRB,25845EVC778,EVCH,163,183,193,151
2025-01,BDG,65281SAO176,SAOIL,71,80,86,66
2025-11,KRW,28255RIM782,RIMWH,25,25,24,21
2025-11,CRB,43610SDX746,SD,37,34,35,24
2023-06,CRB,28681CDK360,CDKGP,123,144,154,142
2022-08,BDG,31656PSK760,PSKIT,154,181,182,173
2023-04,KRW,99196CDK748,CDKIT,151,169,171,120
2023-02,KRW,83527PSK811,PSKIT,131,108,119,94
2025-07,KRW,28731ELE351,ELECT,147,128,161,147
2023-06,KRW,43189BAT721,BATT,21,25,22,18
2022-01,KRW,62471OIL375,OIL,199,166,205,191
2025-04,BDG,95719SDX902,SD,100,110,105,73
2022-09,CRB,60287ACB463,ACB,211,249,265,196
2023-02,KRW,60265BRA845,BRAKE,88,99,99,88
2024-12,BDG,25373TIR778,TIRE,205,250,260,185
2024-08,BDG,46739CDK899,CDKIT,137,140,128,101
2022-12,KRW,12835COO986,COOL,108,116,122,95
2024-06,BDG,50305VAL637,VALVE,75,59,81,81
2023-10,CRB,30709CCK123,CCKIT,70,74,78,66
2024-09,KRW,19983VAL999,VALVE,49,39,47,36
2025-10,KRW,24804STR721,STR,84,72,83,83
2023-07,BDG,37934BRN656,BRNG,106,123,132,110
2025-08,BDG,15832ACG358,ACG,238,271,264,252
2025-10,KRW,86025RSK259,RSKIT,27,25,25,19
2022-08,KRW,69558BRN200,BRNG,129,115,118,104
2023-02,CRB,47349ELE557,ELECT,54,65,68,62
2023-02,CRB,18774SAO574,SAOIL,21,17,19,15
2022-02,CRB,18946GMO345,GMO,115,109,116,107
2024-09,BDG,27475BRN328,BRNG,127,140,143,118
2023-09,KRW,33034CHA197,CHAIN,129,115,130,96
2023-02,BDG,63585BRN322,BRNG,34,33,36,30
2025-04,CRB,58635CCK467,CCKIT,150,181,165,117
2025-11,CRB,51325BRA295,BRAKE,71,79,73,52
2024-12,BDG,87864PST993,PSTN,152,185,194,159
2022-01,BDG,50322SAO250,SAOIL,148,180,191,156
2024-02,CRB,81732GMO595,GMO,131,140,134,127
2022-01,KRW,59947FLU636,FLUID,91,111,118,86
2023-12,BDG,38346SPG581,SPGUI,57,46,61,43
2023-03,KRW,28438DIS510,DISK,109,106,108,82
2022-07,KRW,98703SHO997,SHOCK,65,75,72,62
2024-03,CRB,29878PLA584,PLAST,56,49,56,55
2024-04,KRW,88374TB1425,TB1,37,45,48,41
2024-06,CRB,51856OSE305,OSEAL,66,77,72,51
2022-04,CRB,50236RIM104,RIMWH,107,99,104,90
2025-03,BDG,29840BRN949,BRNG,57,55,60,42
2023-08,KRW,88028OSE858,OSEAL,85,94,102,89
2023-12,CRB,16041BLD741,BLDRV,150,132,153,151
2023-12,KRW,28329CCK195,CCKIT,123,134,121,87
2024-04,CRB,12028BAT411,BATT,61,69,74,67
2024-06,CRB,32152RPI781,RPIST,47,51,53,52
2025-05,BDG,22798ACG220,ACG,140,126,132,132
2024-05,CRB,76343BLD265,BLDRV,160,155,166,124
2022-10,KRW,20408BAT891,BATT,94,113,117,114
2025-10,CRB,50175FLU655,FLUID,101,119,123,94
2023-08,KRW,57412DIS999,DISK,23,19,25,21
2023-03,KRW,99295CDK804,CDKGP,90,88,86,75
2022-02,KRW,25376EVC779,EVCH,98,113,117,82
2023-07,CRB,12692VAL153,VALVE,46,49,53,47
2024-08,BDG,95697CRK515,CRKIT,75,73,79,66
2024-01,BDG,51747PSK432,PSKIT,79,92,87,65
2025-11,BDG,28006ELE145,ELECT,105,86,111,89
2022-05,BDG,63827PLA994,PLAST,80,60,83,68
2022-11,KRW,25165MUF486,MUF,33,36,33,30
2022-01,BDG,81489CHA817,CHAIN,83,73,90,83
2025-08,BDG,91593SAO715,SAOIL,143,137,139,126
2024-05,BDG,43636BRN812,BRNG3,109,83,107,78
2023-06,KRW,23450SPG995,SPGUI,31,33,30,23
2023-09,CRB,41898CCK524,CCKIT,85,99,90,90
2025-01,BDG,97406RPI766,RPIST,61,46,57,56
2023-01,CRB,85581SPL491,SPLUR,133,144,148,112
2024-12,CRB,70966RPI426,RPIST,35,34,35,27
2022-10,BDG,70243SPG571,SPGUI,22,19,23,18
2022-03,BDG,57129CDK519,CDKIT,32,39,42,38
2025-07,CRB,28541BRN906,BRNG,20,22,22,21
2022-04,CRB,33359PLA916,PLAST,106,126,125,124
2025-08,CRB,34250TB1143,TB1,48,37,49,39
2024-01,CRB,29072ELE312,ELECT,39,33,36,29
2022-06,KRW,73513BAT812,BATT,64,60,66,63
2022-11,KRW,88203VAL902,VALVE,111,126,124,98
2024-05,BDG,83176SDN305,SDN,136,122,129,120
2024-07,CRB,30404OIL429,OIL,149,146,151,127
2024-01,CRB,94398TIR388,TIRE,114,102,104,82
2023-10,BDG,85954CAB703,CABLE,83,79,90,69
2023-09,KRW,59628VAL863,VALVE,42,36,43,30
2025-04,KRW,32561CDK449,CDKGP,117,145,142,126
2025-11,BDG,88694MUF571,MUF,126,135,123,102
2023-07,CRB,82239TIR805,TIRE1,139,167,150,106
2022-08,CRB,48334ACG687,ACG,94,95,88,68
2025-04,KRW,75313GST534,GST,120,129,123,123
2022-01,KRW,11545PST564,PSTN,81,84,89,64
2024-08,CRB,51299GMO481,GMO,140,118,139,98
2024-06,KRW,86825TBH876,TBHGP,85,89,84,64
2024-06,KRW,19303TB1710,TB1,53,43,56,52
2024-01,KRW,78761SPG283,SPGUI,102,118,123,121
2024-07,BDG,89658TIR870,TIRE1,153,161,160,112
2024-04,BDG,37266ACB922,ACB,212,255,242,191
2024-03,BDG,97987GMO679,GMO,94,110,100,71
2025-06,CRB,41470CDK477,CDKGP,113,106,123,116
2025-07,KRW,67372SHO318,SHOCK,190,214,220,208
2022-12,KRW,13198BRN902,BRNG3,35,36,33,24
2025-10,CRB,23379COO945,COOL,45,46,45,40
2024-03,BDG,35718STR206,STR,174,176,167,120
2023-10,KRW,23801DIS199,DISK,75,76,71,71
2023-03,KRW,88508TB1617,TB1,74,71,75,54
2023-01,KRW,59392ACB345,ACB,122,135,148,147
2024-05,KRW,56457OIL462,OIL,122,118,122,90
2025-06,BDG,74281DIS607,DISK,104,109,118,103
2022-08,KRW,65956VAL608,VALVE,147,111,141,114
2023-02,BDG,91795ELE562,ELECT,63,52,59,44
2023-02,CRB,97403ECX162,EC,45,39,42,36
2025-01,CRB,96623BRN818,BRNG3,118,118,126,122
2024-03,BDG,13145BRA491,BRAKE,160,133,164,134
2024-08,KRW,28950SPG801,SPGUI,47,41,45,34
2022-04,BDG,29472EVC862,EVCH,42,43,39,39
2022-08,KRW,15747IMP107,IMPOR,138,144,149,119
2023-12,BDG,75421RPI435,RPIST,142,139,130,106
2024-04,KRW,79469SPG423,SPGUI,27,29,30,26
2025-10,KRW,88141RBR553,RBR,112,101,115,102
2022-12,KRW,89866BRN427,BRNG,45,45,42,41
2024-03,KRW,23183OIL716,OIL,217,165,202,169
2024-05,BDG,60105GST125,GST,28,32,32,26
2024-11,KRW,72531BRA558,BRAKE,55,61,66,54
2025-10,CRB,79944PLA344,PLAST,155,167,152,149
2023-04,BDG,11690ELE815,ELECT,143,125,136,115
2025-09,CRB,65430TB1147,TB1,121,109,121,110
2023-03,KRW,84620ELE439,ELECT,34,40,41,39
2024-11,CRB,82502SPL122,SPLUR,80,92,99,74
2022-09,CRB,41045OIL209,OIL,110,104,112,82
2022-10,CRB,86713PSK757,PSKIT,69,78,74,65
2022-06,KRW,18174ACB257,ACB,268,279,300,270
2022-06,BDG,47594TB1682,TB1,85,88,89,89
2023-04,BDG,56227COO967,COOL,49,58,60,45
2022-06,BDG,31552BAT466,BATT,59,71,71,70
2022-02,KRW,37951SDN213,SDN,125,147,160,159
2025-03,BDG,97674PST310,PSTN,59,55,54,45
2023-01,BDG,65720FLU489,FLUID,210,227,244,189
2025-10,BDG,37554MUF469,MUF,142,172,178,133
2022-01,BDG,40007STR576,STR,90,68,88,88
2025-09,CRB,70848SDN586,SDN,93,95,96,85
2023-06,KRW,39499BAT250,BATT,21,18,22,19
2025-03,BDG,66101ECX830,EC,115,141,141,108
2025-02,KRW,63517EVC864,EVCH,124,139,147,142
2023-10,KRW,28492TAS935,TAS,32,36,33,29
2022-08,BDG,44222OIL477,OIL,150,166,163,128
2025-06,KRW,68429BAT626,BATT,72,61,70,61
2023-10,KRW,48390RIM638,RIMWH,121,112,118,114
2023-09,CRB,40148DIS655,DISK,75,90,83,70
2025-08,CRB,52429SPO197,SPOKE,78,97,95,86
2024-05,KRW,89191VAL606,VALVE,93,113,111,105
2023-02,BDG,54248COO968,COOL,75,68,74,70
2022-09,KRW,23518BLD295,BLDRV,43,51,55,50
2022-04,KRW,58397BAT239,BATT,92,72,97,75
2024-05,KRW,10096BRA662,BRAKE,138,171,184,172
2024-05,CRB,97614DIS610,DISK,44,48,46,40
2025-10,KRW,97633BRN192,BRNG3,108,106,112,111
2022-02,KRW,98927SDX923,SD,85,76,84,63
2022-01,CRB,26605BAT713,BATT,99,109,106,92
2024-10,KRW,62217DIS657,DISK,123,149,152,108
2024-07,CRB,68658TIR722,TIRE,111,116,121,120
2022-01,KRW,18843SHO826,SHOCK,79,87,92,92
2025-10,BDG,31406RSK346,RSKIT,164,192,189,146
2024-06,KRW,55589COO968,COOL,126,144,140,107
2023-06,KRW,88226SHO123,SHOCK,145,124,138,99
2024-05,CRB,98315GMO152,GMO,158,194,207,207
2022-01,KRW,61821BRA834,BRAKE,82,74,89,69
2022-12,KRW,10443ELE534,ELECT,37,43,40,30
2024-03,CRB,33601TIR440,TIRE,125,102,112,80
2024-03,BDG,57250RSK982,RSKIT,120,108,118,88
2025-08,BDG,68855FLU100,FLUID,193,182,176,135
2023-08,KRW,35110CDK498,CDKGP,98,89,98,95
2023-05,BDG,88313RBR672,RBR,51,52,55,41
2022-12,KRW,61535CRK843,CRKIT,108,126,122,98
2022-07,BDG,48420CHA213,CHAIN,90,90,86,62
2023-06,BDG,25557MUF912,MUF,91,111,101,80
2022-07,BDG,10423RPI996,RPIST,123,122,121,113
2022-12,BDG,10238VAL140,VALVE,73,67,72,58
2024-03,BDG,38528COO774,COOL,155,117,157,156
2022-09,KRW,85329BLD924,BLDRV,49,42,46,46
2023-02,CRB,40872RPI883,RPIST,38,28,38,31
2025-09,CRB,40926TB1151,TB1,78,83,80,60
2024-02,BDG,35935RIM177,RIMWH,96,95,95,84
2025-02,CRB,14943BLD602,BLDRV,58,51,56,56
2022-06,BDG,51283BRN183,BRNG,32,29,31,26
2025-07,KRW,98067PLA322,PLAST,117,141,131,121
2024-07,KRW,57133DIS821,DISK,82,77,87,63
2025-05,BDG,54709CDK260,CDKIT,106,84,108,80
2025-09,BDG,62261ACG320,ACG,131,157,143,113
2024-02,BDG,15099CAB262,CABLE,60,74,79,77
2023-07,BDG,90780RPI167,RPIST,23,23,21,14
2025-06,CRB,58658DIS425,DISK,87,90,87,64
2025-08,KRW,70644VAL870,VALVE,73,62,77,72
2022-09,CRB,60764OIL356,OIL,133,163,155,132
2022-12,BDG,93004OIL995,OIL,171,146,179,164
2022-09,KRW,82997IMP738,IMPOR,54,65,68,51
2023-04,CRB,32362TAS132,TAS,118,105,126,101
2022-05,KRW,45666DIS745,DISK,92,114,106,106
2024-11,CRB,17565TBH897,TBHGP,19,22,21,20
2024-05,CRB,57082TAS173,TAS,100,103,107,89
2025-07,KRW,74157TIR885,TIRE,75,65,69,49
2023-07,BDG,70134VAL250,VALVE,99,90,104,96
2024-01,CRB,86385COO221,COOL,167,180,170,157
2024-01,CRB,72562BLD956,BLDRV,26,20,24,21
2023-03,CRB,31681SDX461,SD,72,71,64,57
2024-12,KRW,60586PST907,PSTN,71,81,76,74
2024-05,CRB,29923BRN244,BRNG,72,88,92,74
2025-03,KRW,83183SPG789,SPGUI,109,106,110,90
2023-05,KRW,77678SAO103,SAOIL,97,95,105,105
2023-08,KRW,89737SDX138,SD,26,20,28,21
2023-01,BDG,98739TAS844,TAS,68,61,61,53
2022-06,KRW,39725SDX598,SD,114,138,145,122
2025-02,KRW,51039IMP754,IMPOR,153,134,167,121
2022-03,CRB,23049SDN678,SDN,74,67,67,48
2023-09,BDG,14356AHM218,AHM,26,22,27,19
2025-05,CRB,80893BRN726,BRNG3,51,63,67,63
2023-06,CRB,69287RPI959,RPIST,101,95,98,80
2022-08,BDG,92971CAB409,CABLE,54,52,53,37
2024-01,KRW,61255RIM754,RIMWH,139,154,168,131
2025-10,BDG,37534SAO700,SAOIL,32,26,31,28
2023-06,CRB,81085TBH862,TBHGP,109,109,115,89
2023-09,KRW,57552GST129,GST,47,55,51,45
2024-11,BDG,16176CRK671,CRKIT,68,68,61,43
2022-07,CRB,50239RBR817,RBR,137,167,169,150
2022-04,CRB,13141SPO682,SPOKE,99,102,110,106
2023-06,BDG,26809TIR623,TIRE,177,212,231,208
2022-08,BDG,68380TB1107,TB1,127,99,125,87
2022-11,CRB,83491BAT220,BATT,99,108,106,97
2023-10,CRB,53554ACG258,ACG,206,221,223,189
2025-10,CRB,48466TIR728,TIRE1,175,200,198,182
2023-02,BDG,93474BRN190,BRNG3,90,97,95,89
2022-04,KRW,71913CDK928,CDKGP,96,116,106,86
2024-02,CRB,28442CCK226,CCKIT,128,114,130,125
2022-10,BDG,97607BAT905,BATT,47,55,53,42
2022-08,KRW,46607BAT234,BATT,50,39,50,41
2025-06,CRB,58400TB1988,TB1,125,100,120,95
2024-12,BDG,74118CAB532,CABLE,78,96,105,93
2025-09,BDG,84249SPL834,SPLUR,53,40,56,48
2022-09,BDG,94272SAO118,SAOIL,29,25,28,24
2025-08,KRW,82927SPL589,SPLUG,73,71,67,64
2022-01,BDG,50377CCK600,CCKIT,74,87,88,83
2025-02,BDG,80360ACG403,ACG,93,97,100,95
2024-07,CRB,31129ELE854,ELECT,23,25,23,20
2024-11,KRW,40239DIS956,DISK,65,58,62,61
2023-04,CRB,37281FLU433,FLUID,104,122,121,93
2025-07,KRW,95198TIR501,TIRE,164,139,163,125
2023-03,BDG,13283GST457,GST,46,52,53,46
2024-12,BDG,46655SHO114,SHOCK,99,86,107,100
2025-05,CRB,98297OIL798,OIL,261,257,256,193
2025-03,BDG,82827CAB334,CABLE,149,163,158,153
2023-07,CRB,35507SPL352,SPLUG,28,22,26,24
2023-02,KRW,52891GMO928,GMO,171,140,154,142
2024-03,KRW,98889PSK423,PSKIT,34,32,31,26
2022-08,CRB,92989RPI533,RPIST,145,169,179,143
2022-12,KRW,27055SPG489,SPGUI,95,99,108,83
2024-04,BDG,19179OSE602,OSEAL,78,71,84,71
2022-05,BDG,98116CAB713,CABLE,30,29,29,22
2025-03,KRW,58647TIR279,TIRE1,93,75,101,72
